file_name,O0,O1,O2,O3,Os,Of
a2ps-4.14_a2ps_gcc-4.9.4_x86_32, , , , , , 
a2ps-4.14_a2ps_gcc-4.9.4_x86_64, , , , , , 
a2ps-4.14_a2ps_gcc-4.9.4_arm_32, , , , , , 
a2ps-4.14_a2ps_gcc-4.9.4_arm_64, , , , , , 
a2ps-4.14_a2ps_gcc-4.9.4_mips_32, , , , , , 
a2ps-4.14_a2ps_gcc-4.9.4_mips_64, , , , , , 
a2ps-4.14_a2ps_gcc-4.9.4_mipseb_32, , , , , , 
a2ps-4.14_a2ps_gcc-4.9.4_mipseb_64, , , , , , 
a2ps-4.14_a2ps_gcc-5.5.0_x86_32, , , , , , 
a2ps-4.14_a2ps_gcc-5.5.0_x86_64, , , , , , 
a2ps-4.14_a2ps_gcc-5.5.0_arm_32, , , , , , 
a2ps-4.14_a2ps_gcc-5.5.0_arm_64, , , , , , 
a2ps-4.14_a2ps_gcc-5.5.0_mips_32, , , , , , 
a2ps-4.14_a2ps_gcc-5.5.0_mips_64, , , , , , 
a2ps-4.14_a2ps_gcc-5.5.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_gcc-5.5.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_gcc-6.5.0_x86_32, , , , , , 
a2ps-4.14_a2ps_gcc-6.5.0_x86_64, , , , , , 
a2ps-4.14_a2ps_gcc-6.5.0_arm_32, , , , , , 
a2ps-4.14_a2ps_gcc-6.5.0_arm_64, , , , , , 
a2ps-4.14_a2ps_gcc-6.5.0_mips_32, , , , , , 
a2ps-4.14_a2ps_gcc-6.5.0_mips_64, , , , , , 
a2ps-4.14_a2ps_gcc-6.5.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_gcc-6.5.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_gcc-7.3.0_x86_32, , , , , , 
a2ps-4.14_a2ps_gcc-7.3.0_x86_64, , , , , , 
a2ps-4.14_a2ps_gcc-7.3.0_arm_32, , , , , , 
a2ps-4.14_a2ps_gcc-7.3.0_arm_64, , , , , , 
a2ps-4.14_a2ps_gcc-7.3.0_mips_32, , , , , , 
a2ps-4.14_a2ps_gcc-7.3.0_mips_64, , , , , , 
a2ps-4.14_a2ps_gcc-7.3.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_gcc-7.3.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_gcc-8.2.0_x86_32, , , , , , 
a2ps-4.14_a2ps_gcc-8.2.0_x86_64, , , , , , 
a2ps-4.14_a2ps_gcc-8.2.0_arm_32, , , , , , 
a2ps-4.14_a2ps_gcc-8.2.0_arm_64, , , , , , 
a2ps-4.14_a2ps_gcc-8.2.0_mips_32, , , , , , 
a2ps-4.14_a2ps_gcc-8.2.0_mips_64, , , , , , 
a2ps-4.14_a2ps_gcc-8.2.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_gcc-8.2.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_gcc-9.4.0_x86_32, , , , , , 
a2ps-4.14_a2ps_gcc-9.4.0_x86_64, , , , , , 
a2ps-4.14_a2ps_gcc-9.4.0_arm_32, , , , , , 
a2ps-4.14_a2ps_gcc-9.4.0_arm_64, , , , , , 
a2ps-4.14_a2ps_gcc-9.4.0_mips_32, , , , , , 
a2ps-4.14_a2ps_gcc-9.4.0_mips_64, , , , , , 
a2ps-4.14_a2ps_gcc-9.4.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_gcc-9.4.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_gcc-10.3.0_x86_32, , , , , , 
a2ps-4.14_a2ps_gcc-10.3.0_x86_64, , , , , , 
a2ps-4.14_a2ps_gcc-10.3.0_arm_32, , , , , , 
a2ps-4.14_a2ps_gcc-10.3.0_arm_64, , , , , , 
a2ps-4.14_a2ps_gcc-10.3.0_mips_32, , , , , , 
a2ps-4.14_a2ps_gcc-10.3.0_mips_64, , , , , , 
a2ps-4.14_a2ps_gcc-10.3.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_gcc-10.3.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_gcc-11.2.0_x86_32, , , , , , 
a2ps-4.14_a2ps_gcc-11.2.0_x86_64, , , , , , 
a2ps-4.14_a2ps_gcc-11.2.0_arm_32, , , , , , 
a2ps-4.14_a2ps_gcc-11.2.0_arm_64, , , , , , 
a2ps-4.14_a2ps_gcc-11.2.0_mips_32, , , , , , 
a2ps-4.14_a2ps_gcc-11.2.0_mips_64, , , , , , 
a2ps-4.14_a2ps_gcc-11.2.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_gcc-11.2.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_clang-4.0_x86_32, , , , , , 
a2ps-4.14_a2ps_clang-4.0_x86_64, , , , , , 
a2ps-4.14_a2ps_clang-4.0_arm_32, , , , , , 
a2ps-4.14_a2ps_clang-4.0_arm_64, , , , , , 
a2ps-4.14_a2ps_clang-4.0_mips_32, , , , , , 
a2ps-4.14_a2ps_clang-4.0_mips_64, , , , , , 
a2ps-4.14_a2ps_clang-4.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_clang-4.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_clang-5.0_x86_32, , , , , , 
a2ps-4.14_a2ps_clang-5.0_x86_64, , , , , , 
a2ps-4.14_a2ps_clang-5.0_arm_32, , , , , , 
a2ps-4.14_a2ps_clang-5.0_arm_64, , , , , , 
a2ps-4.14_a2ps_clang-5.0_mips_32, , , , , , 
a2ps-4.14_a2ps_clang-5.0_mips_64, , , , , , 
a2ps-4.14_a2ps_clang-5.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_clang-5.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_clang-6.0_x86_32, , , , , , 
a2ps-4.14_a2ps_clang-6.0_x86_64, , , , , , 
a2ps-4.14_a2ps_clang-6.0_arm_32, , , , , , 
a2ps-4.14_a2ps_clang-6.0_arm_64, , , , , , 
a2ps-4.14_a2ps_clang-6.0_mips_32, , , , , , 
a2ps-4.14_a2ps_clang-6.0_mips_64, , , , , , 
a2ps-4.14_a2ps_clang-6.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_clang-6.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_clang-7.0_x86_32, , , , , , 
a2ps-4.14_a2ps_clang-7.0_x86_64, , , , , , 
a2ps-4.14_a2ps_clang-7.0_arm_32, , , , , , 
a2ps-4.14_a2ps_clang-7.0_arm_64, , , , , , 
a2ps-4.14_a2ps_clang-7.0_mips_32, , , , , , 
a2ps-4.14_a2ps_clang-7.0_mips_64, , , , , , 
a2ps-4.14_a2ps_clang-7.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_clang-7.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_clang-8.0_x86_32, , , , , , 
a2ps-4.14_a2ps_clang-8.0_x86_64, , , , , , 
a2ps-4.14_a2ps_clang-8.0_arm_32, , , , , , 
a2ps-4.14_a2ps_clang-8.0_arm_64, , , , , , 
a2ps-4.14_a2ps_clang-8.0_mips_32, , , , , , 
a2ps-4.14_a2ps_clang-8.0_mips_64, , , , , , 
a2ps-4.14_a2ps_clang-8.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_clang-8.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_clang-9.0_x86_32, , , , , , 
a2ps-4.14_a2ps_clang-9.0_x86_64, , , , , , 
a2ps-4.14_a2ps_clang-9.0_arm_32, , , , , , 
a2ps-4.14_a2ps_clang-9.0_arm_64, , , , , , 
a2ps-4.14_a2ps_clang-9.0_mips_32, , , , , , 
a2ps-4.14_a2ps_clang-9.0_mips_64, , , , , , 
a2ps-4.14_a2ps_clang-9.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_clang-9.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_clang-10.0_x86_32, , , , , , 
a2ps-4.14_a2ps_clang-10.0_x86_64, , , , , , 
a2ps-4.14_a2ps_clang-10.0_arm_32, , , , , , 
a2ps-4.14_a2ps_clang-10.0_arm_64, , , , , , 
a2ps-4.14_a2ps_clang-10.0_mips_32, , , , , , 
a2ps-4.14_a2ps_clang-10.0_mips_64, , , , , , 
a2ps-4.14_a2ps_clang-10.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_clang-10.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_clang-11.0_x86_32, , , , , , 
a2ps-4.14_a2ps_clang-11.0_x86_64, , , , , , 
a2ps-4.14_a2ps_clang-11.0_arm_32, , , , , , 
a2ps-4.14_a2ps_clang-11.0_arm_64, , , , , , 
a2ps-4.14_a2ps_clang-11.0_mips_32, , , , , , 
a2ps-4.14_a2ps_clang-11.0_mips_64, , , , , , 
a2ps-4.14_a2ps_clang-11.0_mipseb_32, , , , , , 
a2ps-4.14_a2ps_clang-11.0_mipseb_64, , , , , , 
a2ps-4.14_a2ps_clang-12.0_x86_32, , , , , , 
